TXNAME	GENEID	day0-rep1-sirvs	day0-rep2-sirvs	day0-rep3-sirvs	day5-rep1-sirvs	day5-rep2-sirvs	day5-rep3-sirvs
BambuTx1	SIRV1	37538.94289	42840.95955	39739.79141	21432.60782	21062.93783	21513.10676
BambuTx2	BambuGene1	3.09725	3.92627	2.68909	0.61153	0.93769	0.83067
BambuTx3	BambuGene1	0.30972	0.08354	0.31028	0.17472	0	0
BambuTx4	BambuGene2	5.7299	1.83783	1.03426	0.61153	0	0
BambuTx5	BambuGene3	1.10616	0	0.10343	0	0	0
BambuTx6	BambuGene3	3.79255	1.25306	1.03426	0	0	0.16613
BambuTx7	BambuGene3	1.10616	0.16708	0.10343	0	0	0
BambuTx8	BambuGene4	0.92917	0.33415	0.72399	0	0	0
BambuTx9	BambuGene4	14.40219	25.81311	22.02983	0.87362	1.31276	1.49521
BambuTx10	BambuGene4	31.74677	48.53533	52.74749	25.42238	19.12885	23.92333
BambuTx11	BambuGene2	0.77431	0.91891	0.72399	0.08736	0	0.4984
BambuTx12	BambuGene3	1.4222	0.55692	0.72399	0	0	0
BambuTx13	BambuGene3	0.61945	0.25061	0.93084	0	0	0
BambuTx14	BambuGene4	0.15486	0.25061	0	0	0.37508	0
BambuTx15	BambuGene2	0	0.08354	0.20685	0.08736	0.18754	0.33227
BambuTx16	BambuGene2	0.92917	0.41769	0.20685	0.08736	0	0
BambuTx17	BambuGene3	0	0.16708	0.72399	0	0	0
BambuTx18	BambuGene3	0.31605	0.11138	0.72399	0	0	0
BambuTx19	BambuGene4	0	0	0.72399	0	0	0
BambuTx20	BambuGene4	1.08404	0.33415	0.72399	0.61153	0.75015	0.16613
BambuTx21	BambuGene1	0	0	0	0	0	0.4984
SIRV101	SIRV1	51909.40977	48973.98364	54407.29804	53730.14352	57937.45694	58500.88988
SIRV103	SIRV1	11193.72756	13127.78601	15806.12907	13089.04786	14145.72294	14629.52199
SIRV105	SIRV1	212.78776	141.51816	54.40316	2221.99617	1784.21618	1875.71273
SIRV106	SIRV1	24985.60833	34904.50153	18893.17135	34260.45993	30456.11114	31028.18834
SIRV107	SIRV1	0.30999	0.58541	0.31047	1.57253	0.56261	0.16613
SIRV108	SIRV1	1.55213	0.25144	0.10387	0.50737	0	0
SIRV109	SIRV1	548.82822	304.66033	172.10098	12.59695	16.8784	17.9425
SIRV201	SIRV2	3006.25004	2542.16066	3130.64182	3028.35778	3830.59463	3657.1245
SIRV202	SIRV2	859.78137	503.45611	599.00522	44054.2875	59767.1408	53207.25791
SIRV203	SIRV2	2871.97695	2952.12252	1191.37793	1624.79989	1328.40495	1378.80094
SIRV204	SIRV2	223.1877	178.3602	80.88475	201.98275	232.17246	220.6263
SIRV205	SIRV2	85.96725	0.00003	0.00005	0	0	0
SIRV301	SIRV3	1892.5169	2026.47721	2481.39803	78021.8609	83026.05165	81720.78766
SIRV302	SIRV3	76034.50432	65964.62251	77697.15287	1092.08995	1087.86955	1087.69073
SIRV303	SIRV3	43313.71037	36245.20648	44994.95901	0	0.00011	0.00004
SIRV304	SIRV3	79128.98685	82805.18822	81417.71443	1354.90446	1318.97047	1322.22198
SIRV305	SIRV3	138.7571	75.85238	41.99138	46.22321	38.08195	29.74558
SIRV306	SIRV3	12773.76109	13227.76345	15456.62579	5958.74354	7141.5049	6375.87784
SIRV307	SIRV3	9757.81171	13111.2707	6784.48898	13242.74109	10621.18419	10867.50498
SIRV308	SIRV3	103.9126	63.98978	38.06093	1162.09109	901.86917	815.38696
SIRV309	SIRV3	4075.23104	5247.78156	2474.80987	2455.80526	2078.17211	2244.01114
SIRV310	SIRV3	1278.1018	986.27734	459.4148	14.7688	9.7558	10.30359
SIRV311	SIRV3	0	0	0	0	0	0
SIRV403	SIRV4	10920.35301	11197.4174	4606.58942	549.83221	385.41241	391.45093
SIRV404	SIRV4	1142.89639	853.28848	399.75614	926.46595	689.15207	689.23066
SIRV405	SIRV4	637.18912	476.28749	227.06288	9.34883	5.4386	5.64856
SIRV406	SIRV4	397.68636	334.56796	152.76086	5472.97553	4061.88072	3978.91557
SIRV408	SIRV4	3178.52111	2519.04167	1129.59336	38.73485	29.65795	27.2678
SIRV409	SIRV4	15671.75389	13071.12574	16448.83851	6548.99984	7802.28684	7900.88814
SIRV410	SIRV4	7479.2291	11850.88776	6844.34847	169484.12508	147021.77554	151977.08957
SIRV502	SIRV5	48167.64063	44113.46121	54022.08032	1567.96014	1816.79349	1560.80723
SIRV504	SIRV5	6645.64009	4944.33692	5991.13854	2780.67216	3575.46959	3594.79185
SIRV505	SIRV5	75107.51058	69235.60188	78423.05668	61791.79205	63812.70607	62825.81427
SIRV506	SIRV5	806.13861	785.99969	320.03339	795.65383	664.59284	571.76797
SIRV507	SIRV5	1005.21205	605.23118	307.69486	18.43342	16.12826	13.62301
SIRV508	SIRV5	13164.62614	12093.28429	13692.56346	189186.75587	200535.03018	204227.85891
SIRV509	SIRV5	7251.35146	10022.60113	4592.50438	4707.73068	4128.05843	3927.27623
SIRV510	SIRV5	43746.21475	31393.80901	35097.19464	496.17323	581.784	555.66925
SIRV511	SIRV5	1527.94743	1480.78838	583.81451	23.88748	19.17039	16.67861
SIRV512	SIRV5	1.27437	1.10722	1.31421	12.589	1.19245	0.57505
SIRV601	SIRV6	65323.60683	62532.901	71600.72574	1185.31119	1298.74707	1268.66222
SIRV602	SIRV6	579.87347	470.30679	219.14625	7790.33158	6239.49411	5659.95707
SIRV603	SIRV6	58327.73095	48132.4744	59064.10506	803.40968	819.35825	805.95581
SIRV604	SIRV6	15935.79109	16017.88045	19310.34666	21070.19528	23969.7049	21642.06491
SIRV605	SIRV6	8628.64642	10483.18056	8335.40235	5529.4101	5510.65485	5611.14454
SIRV607	SIRV6	238.56055	169.92896	87.36962	161.11291	184.15261	185.23452
SIRV609	SIRV6	521.27306	314.77222	163.93106	299.13336	233.86478	210.16298
SIRV610	SIRV6	7151.44336	6759.69375	7642.35443	3910.11194	4502.15087	4716.58916
SIRV611	SIRV6	143.45323	79.03608	109.82954	22.98134	3.19501	2.33739
SIRV612	SIRV6	0.0014	0.00266	0.00269	48662.93876	52371.73408	54306.02236
SIRV613	SIRV6	25396.75274	24955.65561	30947.69552	23863.68774	25184.27964	25446.22093
SIRV614	SIRV6	44.1373	27.15091	14.70651	11.64766	13.65864	10.93623
SIRV615	SIRV6	12305.35031	17528.61543	8322.55713	8868.1297	7412.79685	7293.21258
SIRV616	SIRV6	30.44869	19.69645	8.94536	401.08261	333.25463	329.77957
SIRV617	SIRV6	35.23243	56.62632	17.83	61.22532	1.12845	5.97646
SIRV618	SIRV6	204.16815	109.1186	64.17725	0	0	0
SIRV701	SIRV7	0.00245	19547.23049	22478.74704	0.00257	0.00227	0.00233
SIRV702	SIRV7	26353.08138	23320.33067	28240.01998	444.92386	541.8703	515.49585
SIRV703	SIRV7	47623.9167	41762.00056	47083.55812	687.19442	698.45349	699.11045
SIRV704	SIRV7	227.9589	162.14728	84.70647	3.40712	2.81307	1.66134
SIRV705	SIRV7	40822.24775	19547.23049	22478.74704	29284.4788	30022.14869	29481.49323
SIRV706	SIRV7	47172.52568	67783.43836	45490.44881	67945.9242	59359.97474	59222.95168
SIRV708	SIRV7	33368.41816	50184.04097	29155.06	49369.55082	40824.09126	41422.8727
