TXNAME	GENEID	day0-rep1-sirvs	day0-rep2-sirvs	day0-rep3-sirvs	day5-rep1-sirvs	day5-rep2-sirvs	day5-rep3-sirvs
BambuTx1	SIRV1	236707	500023	377005	239092	108945	126432
BambuTx2	BambuGene1	3	0	0	0	0	0
BambuTx3	BambuGene1	2	0	1	1	0	0
BambuTx4	BambuGene2	17	14	6	0	0	0
BambuTx5	BambuGene3	7	0	0	0	0	0
BambuTx6	BambuGene3	24	15	1	0	0	0
BambuTx7	BambuGene3	6	1	1	0	0	0
BambuTx8	BambuGene4	3	4	5	0	0	0
BambuTx9	BambuGene4	9	16	14	0	0	0
BambuTx10	BambuGene4	2	4	8	3	0	1
BambuTx11	BambuGene2	1	4	2	0	0	2
BambuTx12	BambuGene3	1	5	1	0	0	0
BambuTx13	BambuGene3	1	2	6	0	0	0
BambuTx14	BambuGene4	1	3	0	0	2	0
BambuTx15	BambuGene2	0	1	2	0	1	2
BambuTx16	BambuGene2	0	0	2	0	0	0
BambuTx17	BambuGene3	0	1	7	0	0	0
BambuTx18	BambuGene3	1	1	3	0	0	0
BambuTx19	BambuGene4	0	0	7	0	0	0
BambuTx20	BambuGene4	0	0	0	0	2	0
BambuTx21	BambuGene1	0	0	0	0	0	3
SIRV101	SIRV1	320574	555598	508970	582973	292563	337328
SIRV103	SIRV1	69091	148868	147812	141980	71432	84346
SIRV105	SIRV1	1351	1676	519	25106	9356	11118
SIRV106	SIRV1	160944	417165	182443	391498	162098	186512
SIRV107	SIRV1	0	0	0	0	0	0
SIRV108	SIRV1	9	3	1	0	0	0
SIRV109	SIRV1	3527	3622	1644	49	44	57
SIRV201	SIRV2	8426	10013	13201	19604	11356	13742
SIRV202	SIRV2	2894	2415	2910	268683	168000	187375
SIRV203	SIRV2	18519	35302	11509	18594	7080	8298
SIRV204	SIRV2	1142	1656	587	1715	870	1004
SIRV205	SIRV2	555.12063	0.00032	0.00046	0	0	0
SIRV301	SIRV3	4988	11402	13188	183202	87863	115269
SIRV302	SIRV3	459638	732800	702968	11598	5356	6142
SIRV303	SIRV3	233055.48616	356104.07946	363177.91293	0	0	0
SIRV304	SIRV3	491486	958611	768215	15035	6790	7730
SIRV305	SIRV3	893	903	405	529	202	179
SIRV306	SIRV3	41431	83993	92259	38801	18701	23459
SIRV307	SIRV3	62105	155358	64965	149950	55908	64713
SIRV308	SIRV3	667	761	365	13237	4779	4878
SIRV309	SIRV3	26295	62785	23913	28098	11072	13498
SIRV310	SIRV3	8245	11785	4436	168	50	62
SIRV311	SIRV3	0	0	0	0	0	0
SIRV403	SIRV4	70041	133252	44098	6228	2026	2331
SIRV404	SIRV4	7342	10168	3835	10504	3630	4110
SIRV405	SIRV4	4112	5700	2191	107	29	34
SIRV406	SIRV4	2457	4005	1385	62043	21630	23925
SIRV408	SIRV4	20423	30034	10839	441	158	164
SIRV409	SIRV4	96549	147042	152712	70190	38647	45002
SIRV410	SIRV4	48287	141831	66174	1939715	783813	914711
SIRV502	SIRV5	251644	419969	431966	5490	2837	3546
SIRV504	SIRV5	36899	46925	16511	12475	17966	7106
SIRV505	SIRV5	450526	767884	709579	646448	306830	347634
SIRV506	SIRV5	5190	9390	3087	9059	3536	3428
SIRV507	SIRV5	6485	7230	2964	210	86	82
SIRV508	SIRV5	77141	130981	120633	1935930	935743	1113263
SIRV509	SIRV5	46370	119135	44108	53534	21836	23510
SIRV510	SIRV5	189973	213564	201441	3032	1577	1932
SIRV511	SIRV5	9825	17690	5632	272	100	100
SIRV512	SIRV5	8.21547	13.24177	12.69767	143.71144	6.35846	3.4555
SIRV601	SIRV6	366798	648855	628368	10971	5558	6355
SIRV602	SIRV6	3593	5415	1995	86515	32140	32885
SIRV603	SIRV6	51527	422263	88462	7601	4269	4722
SIRV604	SIRV6	59218	107562	113938	112999	56514	68855
SIRV605	SIRV6	50352	111304	73054	58440	27173	31481
SIRV607	SIRV6	1380	1849	727	1813	958	1099
SIRV609	SIRV6	3337	3735	1574	3406	1242	1257
SIRV610	SIRV6	43065	72743	67700	41554	22212	26602
SIRV611	SIRV6	871	885	469	25	17	14
SIRV612	SIRV6	0.00733	0.02672	0.0218	440588.01177	217161.87234	267434.78623
SIRV613	SIRV6	150467	273695	280734	247244	119630	140061
SIRV614	SIRV6	280	318	140	131	70	65
SIRV615	SIRV6	78856	208632	80125	100357	39006	43403
SIRV616	SIRV6	173	201	55	4579	1771	1985
SIRV617	SIRV6	222.68183	666.88978	168.09175	696.94878	5.96393	24.93101
SIRV618	SIRV6	1318.38519	1306.22184	620.51105	0.00001	0	0
SIRV701	SIRV7	0.00951	158493.5	151518	0.01985	0.0077	0.00961
SIRV702	SIRV7	131712	207951	207734	3767	2041	2303
SIRV703	SIRV7	235270	373583	344967	5747	2579	3110
SIRV704	SIRV7	1454	1925	800	39	15	10
SIRV705	SIRV7	177443.99049	158493.5	151518	232873.98015	105808.9923	125363.99039
SIRV706	SIRV7	303859	809718	439158	776163	315905	355888
SIRV708	SIRV7	213889	597750	280767	562664	216577	248259
