TXNAME	GENEID	day5-rep2-sirvs.aligned.sorted	day0-rep1-sirvs.aligned.sorted	day0-rep3-sirvs.aligned.sorted	day5-rep3-sirvs.aligned.sorted	day0-rep2-sirvs.aligned.sorted	day5-rep1-sirvs.aligned.sorted
BambuTx1	SIRV1	308937.52297	335197.22722	526048.22347	352129.94621	586252.98926	615027.06345
BambuTx2	SIRV1	75428.65767	72281.81668	152824.83081	88058.67246	157146.32242	149825.94283
BambuTx3	SIRV4	158.14391	20524.82332	10921.70719	164.1311	30154.56658	443.38271
BambuTx4	SIRV5	4266.82236	306160.12312	515878.13396	4860.69844	521083.00355	8311.12198
BambuTx5	SIRV6	6880.90242	427164.45241	700596.90333	7584.71197	761422.67746	13485.47545
BambuTx6	BambuGene4	4	7	7	1	4	7
BambuTx7	BambuGene4	2	1	0	0	3	0
BambuTx8	SIRV3	7033.08081	510903.44395	787112.76876	7958.746	991132.42198	15509.04552
BambuTx9	BambuGene1	5	20	26	5	47	7
BambuTx10	BambuGene1	0	2	3	0	1	2
BambuTx11	BambuGene2	0	37	10	0	22	7
BambuTx12	BambuGene3	0	7.14286	1	0	0	0
BambuTx13	BambuGene3	0	24.4898	10	1	15	0
BambuTx14	BambuGene3	0	7.14286	1	0	2	0
BambuTx15	BambuGene4	0	6	7	0	4	0
BambuTx16	BambuGene4	7	93	213	9	309	10
BambuTx17	BambuGene4	102	205	510	144	581	291
BambuTx18	BambuGene2	1	0	2	2	1	1
BambuTx19	BambuGene2	0	5	7	3	11	1
BambuTx20	BambuGene2	0	6	2	0	5	1
BambuTx21	BambuGene3	0	0	7	0	2	0
BambuTx22	BambuGene3	0	2.04082	7	0	1.33333	0
BambuTx23	BambuGene3	0	4	9	0	3	0
BambuTx24	BambuGene4	0	0	7	0	0	0
BambuTx25	BambuGene1	0	0	0	3	0	0
BambuTx26	BambuGene3	0	9.18367	7	0	6.66667	0
SIRV102	SIRV1	112313.04021	242402.09284	384232.3994	129492.2954	512834.63831	245330.64061
SIRV105	SIRV1	9513.90534	1374.04506	526.0082	11290.34453	1694.06584	25434.32782
SIRV106	SIRV1	162399.8738	161340.81796	182672.53811	186765.7414	417829.98078	392166.02525
SIRV108	SIRV1	0	10.02238	1.00421	0	3.00981	5.80552
SIRV109	SIRV1	90	3543.97786	1663.99581	108	3647.99358	144.19453
SIRV201	SIRV2	20425.72268	19412.41099	30269.25939	22013.06615	30431.37373	34664.42128
SIRV202	SIRV2	318693.87433	5551.90989	5791.60613	320266.6164	6026.70844	504272.11459
SIRV203	SIRV2	7083.39947	18545.36249	11519.08441	8299.31745	35338.82918	18598.44717
SIRV204	SIRV2	1200.44184	1441.19626	782.0491	1328	2135.0879	2312.01696
SIRV205	SIRV2	0	555.12037	0.00021	0	0.00057	0
SIRV206	SIRV2	37.56168	0	0.00076	0	0.00018	0
SIRV301	SIRV3	442729.97188	277823.76825	434335.57921	491905.73675	436260.27925	893107.53601
SIRV302	SIRV3	5799.46605	506923.81384	774401.39581	6545.9883	815160.52522	12498.4873
SIRV305	SIRV3	203.06269	896.00464	406.00346	179.04537	908.00428	529.09877
SIRV306	SIRV3	38068.23966	80702.45889	151076.68089	38369.34371	154825.09989	68187.82325
SIRV307	SIRV3	56634.81459	63002.47049	65589.84244	65413.9127	156935.49145	151584.32878
SIRV308	SIRV3	4809	671	368	4908	766	13302
SIRV309	SIRV3	11081.3439	26311.92033	23925.33181	13507.20758	62813.00248	28110.62783
SIRV310	SIRV3	52.02041	8252.11961	4441.39763	62.0196	11805.17546	169.05254
SIRV311	SIRV3	0	0	0	0	0	0
SIRV403	SIRV4	2055.11813	70516.54152	44539.76336	2356.23192	134040.5327	6293.71105
SIRV404	SIRV4	3674.73796	7380.08199	3865.12501	4148.63697	10214.4249	10604.89382
SIRV405	SIRV4	29	4114.55318	2195.40444	34	5701.47582	107.01242
SIRV406	SIRV4	21659	2568	1477	23950	4005	62647
SIRV409	SIRV4	41603.8142	101198	159039	47557.24709	156470.02821	74963.82745
SIRV410	SIRV4	783958.1858	48296	66176	914784.75291	141862.97179	1940018.17255
SIRV501	SIRV5	20938.64288	50238.44313	66377.57578	21665.80666	65519.99165	35941.77955
SIRV503	SIRV5	379	1548.00935	797.00287	355.00087	1990.00513	968.00067
SIRV504	SIRV5	19065.33062	42912.08364	57924.83991	21637.91725	59186.0687	31829.4503
SIRV505	SIRV5	341014.57244	486451.63564	759201.09347	378873.08527	831999.67554	709287.59793
SIRV507	SIRV5	86.00006	6491.00577	2975.01096	82	7245.01717	211.00007
SIRV508	SIRV5	1071647.18436	85263.03631	132555.13017	1231596.10546	145315.75672	2171526.04111
SIRV509	SIRV5	22006.03658	46762.88967	44383.17906	23634.03742	119854.85013	53869.57209
SIRV510	SIRV5	3054.62002	283201.47622	339703.4975	3298.16269	377039.74242	5585.13148
SIRV511	SIRV5	110.27658	9902.07717	5653.82678	105.26778	17812.62665	285.90283
SIRV512	SIRV5	8.5141	8.21998	12.70954	3.91816	13.26235	205.40197
SIRV602	SIRV6	33694.40379	3832.19558	2159.48427	34041.08341	5804.98786	89087.60295
SIRV603	SIRV6	4368.1367	376642.65141	571053.24635	4850.5446	576140.29961	9195.15686
SIRV605	SIRV6	29359.94322	55711.62182	80611.42473	33733.4398	125523.06195	63232.73039
SIRV606	SIRV6	313.4418	1933.11436	921.82737	293.98647	1984.80791	764.95369
SIRV607	SIRV6	982.01456	1544.37458	848.18988	1115.0574	2045.17303	1848.0917
SIRV608	SIRV6	2.98068	8.55727	12.58183	5.02474	8.96639	0
SIRV609	SIRV6	1247.03356	3366.15713	1585.17675	1265.05226	3768.08634	3424.09719
SIRV610	SIRV6	23922.08572	46138.7148	73909.00108	28280.89211	80923.68813	44588.88625
SIRV611	SIRV6	18.00072	1144.06879	1199.19685	30.00184	1608.0409	944.03981
SIRV612	SIRV6	405440.41462	95686.56573	176948.54518	456216.27059	175436.53005	795795.69289
SIRV613	SIRV6	134234.00417	164070.77723	299269.26068	153058.12822	298823.74883	272988.28425
SIRV615	SIRV6	40635.10109	80396.21243	81484.49215	44891.80659	212127.85509	103739.67982
SIRV616	SIRV6	1776.53694	400.53646	134.66958	1985	442.07644	4590.30876
SIRV701	SIRV7	0.01211	0.01582	217340.41883	0.01391	233401.30193	0.02942
SIRV702	SIRV7	2886.64975	170171.07002	273044.47886	3100.8676	279546.51359	5087.58681
SIRV703	SIRV7	3720.56385	307524.29852	455237.12795	4205.14907	500716.01383	7857.11526
SIRV704	SIRV7	15	1472.01043	819.002	10	1941.01023	39
SIRV705	SIRV7	160092.38933	263603.54151	217340.41883	177460.80627	233401.30193	335222.13239
SIRV706	SIRV7	316522.75727	304609.50867	439833.82082	356476.44752	811412.66776	777750.28712
SIRV708	SIRV7	217684.62769	215471.55502	281891.73271	249333.71564	600736.19074	565113.849
